,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1884,13.261243506221042,2.286583276687595,1.498509947841646,21.54506192512522,5.228463081227378,3.4264677866847078,49.26457829318997,2.2455320637803724,32.285489621664425,464.1896933574805,11.955316244313018,7.83490393914201,112.64756085827489,5.134596064305981,73.82346064856878,1061.4083900419578,3.3649521357722696,48.38012736900236,695.5928731817477,10000.995688391806,27.33682619175769,17.915160321695883,257.57802881817946,11.740681493188,168.80349054622215,2426.9986744058447,7.694243280511076,110.6251901659766,1590.5310312004594,22868.109491301446,5.042414249465739,72.49810214029591,1042.3528401106014,14986.591527376528,215472.0714193118
1885,13.863989764697767,2.2181003523845506,1.6341179181174694,21.01289156455247,4.919969173248467,3.624637530014267,46.60870218395218,2.6703413703125727,34.33754261709461,441.5416119036403,10.912985356903551,8.039809782590913,103.38277873841089,5.92308513447736,76.16411537899708,979.383604955907,4.363652680718132,56.111593654716536,721.5310596062083,9278.066012168903,24.206096665715208,17.83310491186966,229.31337795016324,13.137997223987927,168.939651161211,2172.3711192723486,9.679019548784675,124.46114565838545,1600.4282975689287,20579.681491038966,7.130723034002828,91.6929606052988,1179.0668329807888,15161.453915961898,194958.9950424649
1886,14.501003016651858,2.1693354006985417,1.7759044044708496,20.49682302889566,4.706016080723902,3.852532292875076,44.46448379843646,3.153836453818963,36.40039829467534,420.1197542778674,10.208927280170967,8.357434685268224,96.45837877773496,6.841729067283028,78.96467262016604,911.3806554877503,5.600912049317822,64.64362765600714,746.0925220272758,8611.120254376578,22.146587352031958,18.13007892177823,209.2505757765294,14.842005067645287,171.30085971949708,1977.0903194614182,12.150256784784167,140.2337099037516,1618.5249202302257,18680.40800749134,9.946684377437373,114.80090307527671,1324.9889960110033,15292.526387175507,176500.60793449567
1887,15.19477596440628,2.1390203493717297,1.9243275307018128,19.996755196772067,4.575408055026356,4.116175747027429,42.77346628730034,3.703036445416936,38.48030654985303,399.8702183996307,9.786890936380702,8.804583684482052,91.49331480170106,7.920870311211983,82.3101587601979,855.3305342645278,7.1258549791079915,74.04871328372748,769.4812699741559,7996.106867817197,20.934358870000064,18.83318366885343,195.70606219231226,16.942902780416816,176.06310454808104,1829.5694182308184,15.242348806983856,158.3917045586858,1645.9360949351212,17103.835306012024,13.712478916086098,142.49397758492185,1480.7339921706623,15387.128584174472,159896.19156296834
1888,15.964570699749547,2.126061713848467,2.08005361301198,19.512652621876036,4.52013841109228,4.422322349376946,41.48510367499555,4.326623033004193,40.58736358558094,380.74361234200575,9.61009321711914,9.40213023330673,88.19989061844237,9.198667580725147,86.29123978535107,809.4844169927011,8.999607871941224,84.4238922688185,791.9671264832218,7429.317845627792,20.431651255431845,19.98950911765059,187.5184106094929,19.556934961798838,183.4605011481525,1721.013826925129,19.133721736183514,179.49040508680264,1683.7709862425643,15795.188231600423,18.719666869722403,175.60622213829015,1647.3340828281414,15453.379427012469,144965.69833923955
1889,16.827079082528602,2.12954237829647,2.24392821258435,19.0445514071578,4.534950740960586,4.778540222553423,40.55617929718821,5.035213823231996,42.73460619853437,362.6949382998762,9.657369786362544,10.17610391032176,86.36610251515224,10.722701220356726,91.00515491958996,772.3742415032098,11.298658354344985,95.89338850257332,813.8614046126322,6907.362397567918,20.565778222938963,21.67044452297861,183.92027535431401,22.834446658560925,193.79933404470228,1644.8036791856773,24.060971783471096,204.20903461467734,1733.1523511824905,14709.520947872392,25.353378245666576,215.17787986123602,1826.2465669438122,15499.625358446929,131547.61826835098
1890,17.79699460368172,2.1487206777688974,2.416953385185477,18.592565986819586,4.61700055107163,5.19335771595157,39.95023098866193,5.841663666159538,44.93736530112796,345.68350997424056,9.920644553358006,11.15907511131579,85.84188740698168,12.552103512048264,96.55784602698822,742.7773058453816,14.1190287730393,108.61151718587763,835.5009296350385,6427.143469751474,21.316694088595735,23.9777354364605,184.45023849009104,26.970964365833705,207.47584035901494,1596.0209560474443,30.337849074643568,233.37581282114724,1795.2581238019438,13810.136072442332,34.12503438852849,262.50897413253756,2019.3668002070194,15534.10616628856,119497.08906811087
1891,18.88749551869661,2.1830277280807753,2.600270178797239,18.15689749557832,4.765610061569511,5.676461900815927,39.63701068876786,6.761405002742225,47.21283909723058,329.6729266649383,10.403458905626973,12.391873726875273,86.5286933918143,14.760334601770346,103.06693687067046,719.6851401071002,17.58147979540107,122.76613756088103,857.2386799636481,5985.837536522594,22.71103925893256,27.051803948644377,188.89453694893035,32.22221971141477,224.99798103702443,1571.0926163414974,38.38085789405245,268.00188236478203,1871.3758079440054,13067.24931801554,45.71659761110758,319.2251264656785,2229.0521756209846,15564.794841344828,108684.23857582579
1892,20.11063856310413,2.2320635461958163,2.7951455251136994,17.737844100694645,4.982107674256243,6.238942432918651,39.59199520526503,7.812838506563138,49.57985556322107,314.6311133405478,11.12038092292978,13.925715971331957,88.37184921883161,17.438752022814544,110.66538822831959,702.276638586441,21.838020590055955,138.58291141332091,879.4397485153734,5580.877637662624,24.821396877882947,31.083082974286924,197.25158315126725,38.924402681272895,247.01217889003976,1567.526084333729,48.743849680137544,309.32586469135776,1962.9654037367811,12456.873530806168,61.04044552963573,387.3594046941722,2458.162077669863,15599.365155119798,98992.73748191264
1893,21.477663167044483,2.2955924662463922,3.0029626207792752,17.335813674343978,5.269744771087193,6.8935783686804255,39.79596326707522,9.017784501797534,52.05880046484919,300.53043575157164,12.09718639554908,15.82484656862188,91.35531346291604,20.701158164559892,119.50579014893198,689.8954041890532,27.080069781140654,156.3306318785489,902.4816649684773,5209.93963765865,27.77020995240082,36.32739856243346,209.7145693370477,47.52142272513868,274.33659153871054,1583.7186923544004,62.16480417501307,358.87142078393487,2071.730111027137,11959.898181807655,81.3204373208598,469.45504401408726,2710.118705838983,15645.25398840525,90318.54281302953
1894,22.999204707047156,2.3735382073049944,3.225213896355678,16.951339176806833,5.633683621536607,7.655168409731211,40.23465120113701,10.402004677245772,54.671694674875816,287.3478998871462,13.371763323585506,18.169834703851244,95.49848188348848,24.689555534008097,129.76535616893074,682.0312191709919,33.54869003500982,176.32790940272417,926.7584398046439,4870.931712730149,31.738391147569818,43.12679689000716,226.66929549008375,58.601603381346685,308.00303085149795,1618.827157277156,79.62909760312814,418.5210299815794,2199.6965658186878,11561.342525338563,108.20170130544292,568.695223721011,2988.994198622844,15709.796648096837,82568.81556955338
